"Keycode","Keyname","Keycount"
49,"1",3613
50,"2",2863
51,"3",1339
52,"4",1007
53,"5",1490
54,"6",856
55,"7",686
56,"8",622
57,"9",3400
48,"0",5281
65,"A",39342
66,"B",6720
67,"C",12436
68,"D",10365
69,"E",32041
70,"F",6698
71,"G",7285
72,"H",18227
73,"I",29209
74,"J",2488
75,"K",7486
76,"L",12902
77,"M",12505
78,"N",23394
79,"O",22446
80,"P",8261
81,"Q",639
82,"R",19598
83,"S",19541
84,"T",25021
85,"U",10741
86,"V",6807
87,"W",5779
88,"X",1987
89,"Y",6338
90,"Z",5460
16777219,"Backspace",55243
16777220,"Enter",27518
16777217,"Tab",13773
16777252,"Capslock",479
16781922,"Left Shift",15081
16781917,"Left Ctrl",10203
16781915,"Left Alt",10898
16781914,"Right Alt",181
16781916,"Right Ctrl",43852
16781921,"Right Shift",7567
16777234,"Left",128238
16777237,"Down",11610
16777236,"Right",145908
16777235,"Up",36014
16777222,"Insert",146
16777232,"Home",31
16777238,"PageUp",20
16777223,"Delete",4624
16777233,"End",258
16777239,"PageDown",176
16777216,"Escape",1585
32,"Space",170711
16777264,"F1",21
16777265,"F2",96
16777266,"F3",47
16777267,"F4",584
16777268,"F5",32
16777269,"F6",6
16777270,"F7",3
16777271,"F8",11
16777272,"F9",16
16777273,"F10",19
16777274,"F11",1024
16777275,"F12",81
16781912,"0",8016
16781920,"1",90
16781909,"2",42
16781906,"3",57
16781911,"4",42
16781908,"5",18
16781919,"6",12
16781918,"7",24
16781913,"8",18
168,"9",17
16777471,".",81
16781910,"Enter",140
202,"-",26
16777476,"Numlock",92
16777428,"+",92
16777474,"/",17
16777429,"*",441
195,"~",205
45,"-",2136
61,"=",3364
91,"[",1754
93,"]",351
92,"\",747
59,";",2999
39,"'",847
44,",",3740
46,".",4522
47,"/",1373
